team,team_code,association,rank,previous_rank,points,previous_points
Guyana,GUY,CONCACAF,171,172,968.74,968.74
St Lucia,LCA,CONCACAF,172,173,965.66,965.66
Grenada,GRN,CONCACAF,173,171,963.72,969.0
Moldova,MDA,UEFA,174,177,961.23,944.96
Nepal,NEP,AFC,175,176,954.86,950.45
Belize,BLZ,CONCACAF,176,175,950.88,950.88
Cambodia,CAM,AFC,177,174,948.62,954.3
St Vincent and the Grenadines,VIN,CONCACAF,178,179,945.25,939.97
Montserrat,MSR,CONCACAF,179,178,940.78,940.78
Mauritius,MRI,CAF,180,180,932.02,932.02
Chad,CHA,CAF,181,181,930.22,931.98
Macau,MAC,AFC,182,182,922.1,922.1
Mongolia,MNG,AFC,183,184,913.55,913.55
Dominica,DMA,CONCACAF,184,185,911.51,911.51
Bhutan,BHU,AFC,185,186,910.96,910.96
São Tomé and Príncipe,STP,CAF,186,187,908.18,908.18
Laos,LAO,AFC,187,183,905.51,914.66
American Samoa,ASA,OFC,188,188,900.27,900.27
Cook Islands,COK,OFC,189,189,899.33,899.33
Brunei Darussalam,BRU,AFC,190,190,898.41,897.1
Samoa,SAM,OFC,191,191,894.26,894.26
Bangladesh,BAN,AFC,192,192,884.45,883.18
Djibouti,DJI,CAF,193,193,875.05,877.84
Pakistan,PAK,AFC,194,195,866.81,866.81
Cayman Islands,CAY,CONCACAF,195,196,865.72,865.72
Liechtenstein,LIE,UEFA,196,194,862.39,873.99
Tonga,TGA,OFC,197,197,861.81,861.81
Timor-Leste,TLS,AFC,198,199,860.06,860.06
Seychelles,SEY,CAF,199,198,859.56,860.48
Eritrea,ERI,CAF,200,201,855.56,855.56
Aruba,ARU,CONCACAF,201,202,855.37,855.37
Bahamas,BAH,CONCACAF,202,203,854.8,854.8
Somalia,SOM,CAF,203,204,854.72,854.72
Gibraltar,GIB,UEFA,204,200,852.16,856.55
Guam,GUM,AFC,205,205,838.33,838.33
Turks and Caicos Islands,TCA,CONCACAF,206,206,832.0,832.0
Sri Lanka,SRI,AFC,207,207,825.25,825.25
US Virgin Islands,VIR,CONCACAF,208,208,823.97,823.97
British Virgin Islands,VGB,CONCACAF,209,209,809.32,809.32
Anguilla,AIA,CONCACAF,210,210,790.74,790.74
San Marino,SMR,UEFA,211,211,762.22,763.82
